id_venda;produto;categoria;quantidade;valor
1;Feijao;Alimentos;13;35.3
2;Refrigerante;Bebidas;5;16.92
3;Feijao;Alimentos;9;30.13
4;Shampoo;Higiene;15;5.5
5;Leite;Bebidas;1;4.9
6;Sabonete;Higiene;20;21.54
7;Leite;Bebidas;12;32.8
8;Feijao;Alimentos;13;5.76
9;Refrigerante;Bebidas;11;48.39
10;Shampoo;Higiene;20;37.00
11;Shampoo;Higiene;13;16.67
12;Leite;Bebidas;1;6.87
13;Arroz;Alimentos;15;17.49
14;Leite;Bebidas;9;24.24
15;Leite;Bebidas;7;2.22
16;Shampoo;Higiene;20;34.71
17;Leite;Bebidas;2;9.64
18;Shampoo;Higiene;9;26.54
19;Leite;Bebidas;1;11.58
20;Refrigerante;Bebidas;2;17.89
21;Sabonete;Higiene;17;24.55
22;Feijao;Alimentos;11;14.95
23;Sabonete;Higiene;3;8.15
24;Refrigerante;Bebidas;18;13.06
25;Feijao;Alimentos;13;28.3
26;Sabonete;Higiene;13;31.06
27;Sabonete;Higiene;19;3.49
28;Arroz;Alimentos;15;16.61
29;Feijao;Alimentos;9;35.93
30;Leite;Bebidas;20;41.99
31;Refrigerante;Bebidas;16;10.72
32;Sabonete;Higiene;12;13.15
33;Shampoo;Higiene;15;16.06
34;Leite;Bebidas;14;49.47
35;Feijao;Alimentos;10;28.06
36;Refrigerante;Bebidas;16;28.6
37;Arroz;Alimentos;20;7.37
38;Feijao;Alimentos;6;29.03
39;Shampoo;Higiene;2;8.27
40;Shampoo;Higiene;12;24.13
41;Sabonete;Higiene;8;44.03
42;Arroz;Alimentos;13;48.24
43;Refrigerante;Bebidas;4;17.26
44;Feijao;Alimentos;16;10.82
45;Refrigerante;Bebidas;2;30.38
46;Arroz;Alimentos;15;20.4
47;Feijao;Alimentos;6;6.18
48;Leite;Bebidas;18;11.5
49;Sabonete;Higiene;2;12.82
50;Feijao;Alimentos;10;23.81
51;Arroz;Alimentos;17;30.99
52;Shampoo;Higiene;17;30.42
53;Feijao;Alimentos;12;46.38
54;Feijao;Alimentos;10;9.23
55;Shampoo;Higiene;18;34.5
56;Leite;Bebidas;6;31.24
57;Refrigerante;Bebidas;14;32.66
58;Feijao;Alimentos;3;16.64
59;Refrigerante;Bebidas;5;27.78
60;Sabonete;Higiene;10;42.64
61;Feijao;Alimentos;17;31.32
62;Sabonete;Higiene;16;13.68
63;Shampoo;Higiene;7;4.8
64;Shampoo;Higiene;14;15.21
65;Refrigerante;Bebidas;5;32.91
66;Arroz;Alimentos;2;24.43
67;Leite;Bebidas;2;11.88
68;Arroz;Alimentos;12;9.63
69;Arroz;Alimentos;2;27.42
70;Shampoo;Higiene;14;47.9
71;Leite;Bebidas;20;23.32
72;Refrigerante;Bebidas;19;9.11
73;Arroz;Alimentos;11;9.52
74;Feijao;Alimentos;12;39.3
75;Refrigerante;Bebidas;2;47.61
76;Leite;Bebidas;6;13.85
77;Leite;Bebidas;20;32.17
78;Refrigerante;Bebidas;18;8.23
79;Leite;Bebidas;9;7.00
80;Refrigerante;Bebidas;10;27.13
81;Refrigerante;Bebidas;18;3.52
82;Shampoo;Higiene;2;32.94
83;Refrigerante;Bebidas;8;10.61
84;Sabonete;Higiene;20;33.53
85;Sabonete;Higiene;4;20.61
86;Refrigerante;Bebidas;4;9.63
87;Feijao;Alimentos;1;13.35
88;Sabonete;Higiene;19;43.34
89;Sabonete;Higiene;9;4.1
90;Feijao;Alimentos;13;26.02
91;Shampoo;Higiene;20;24.08
92;Leite;Bebidas;8;7.95
93;Sabonete;Higiene;3;13.38
94;Refrigerante;Bebidas;9;44.58
95;Shampoo;Higiene;7;43.38
96;Arroz;Alimentos;10;22.24
97;Leite;Bebidas;15;13.23
98;Refrigerante;Bebidas;17;9.85
99;Refrigerante;Bebidas;16;8.06
100;Arroz;Alimentos;6;35.93
